Date,Open*,Single_day_Increase(%),Sixty_Days_Increase(%)
2013-7-3,90.4,2.6689,-3.883
2013-7-4,78.89,-12.7323,-31.7019
2013-7-5,79.99,1.3943,-33.0357
2013-7-6,68.5,-14.3643,-44.1839
2013-7-7,68.75,0.365,-41.4581
2013-7-8,76.5,11.2727,-33.4701
2013-7-9,76,-0.6536,-33.7703
2013-7-10,76.72,0.9474,-37.1669
2013-7-11,88,14.7028,-20.7139
2013-7-12,88.98,1.1136,-18.8912
2013-7-13,93.99,5.6305,-16.0128
2013-7-14,98.7,5.0112,-5.4244
2013-7-15,93.61,-5.157,-13.1128
2013-7-16,98.89,5.6404,-10.9657
2013-7-17,96.71,-2.2045,-17.6453
2013-7-18,98.5,1.8509,-15.5596
2013-7-19,90.07,-8.5584,-23.5417
2013-7-20,92,2.1428,-21.0071
2013-7-21,89.82,-2.3696,-24.0897
2013-7-22,92,2.4271,-22.4031
2013-7-23,91.6,-0.4348,-24.8573
2013-7-24,95.56,4.3231,-25.9182
2013-7-25,94.5,-1.1093,-26.1935
2013-7-26,96.95,2.5926,-24.7449
2013-7-27,96.02,-0.9593,-22.9102
2013-7-28,94.4,-1.6871,-24.0039
2013-7-29,98.6,4.4492,-22.0741
2013-7-30,101.49,2.931,-16.5344
2013-7-31,107.95,6.3652,-10.1847
2013-8-1,106.21,-1.6119,-12.1692
2013-8-2,104.86,-1.2711,-8.1812
2013-8-3,104.5,-0.3433,-7.0878
2013-8-4,104.95,0.4306,-7.2038
2013-8-5,105.12,0.162,-7.4537
2013-8-6,106.72,1.5221,-3.528
2013-8-7,106.75,0.0281,3.1993
2013-8-8,106.75,0,6.0011
2013-8-9,103.07,-3.4473,9.459
2013-8-10,102.8,-0.262,3.3129
2013-8-11,103,0.1946,1.0157
2013-8-12,105,1.9417,3.1592
2013-8-13,106.99,1.8952,9.4946
2013-8-14,109.56,2.4021,15.6966
2013-8-15,112.56,2.7382,18.6348
2013-8-16,110,-2.2743,16.2603
2013-8-17,108.99,-0.9182,13.29
2013-8-18,112.75,3.4499,11.7374
2013-8-19,113.38,0.5588,11.1752
2013-8-20,119,4.9568,13.3237
2013-8-21,121.21,1.8571,16.7892
2013-8-22,123.3,1.7243,19.7007
2013-8-23,122,-1.0543,18.9237
2013-8-24,118.51,-2.8607,21.4476
2013-8-25,119.6,0.9198,21.1528
2013-8-26,122.11,2.0987,22.6031
2013-8-27,120.07,-1.6706,23.1056
2013-8-28,126.48,5.3386,35.4031
2013-8-29,122.62,-3.0519,31.992
2013-8-30,122.35,-0.2202,29.1297
2013-8-31,133.09,8.7781,47.6094
2013-9-1,135.14,1.5403,46.4808
2013-9-2,138.63,2.5825,61.7956
2013-9-3,135.61,-2.1785,58.2228
2013-9-4,136.53,0.6784,73.2655
2013-9-5,126.76,-7.1559,65.7446
2013-9-6,126.49,-0.213,54.2589
2013-9-7,118.89,-6.0084,48.9041
2013-9-8,124.13,4.4074,52.3641
2013-9-9,121.86,-1.8287,35.8326
2013-9-10,127.27,4.4395,39.1585
2013-9-11,125.89,-1.0843,32.4437
2013-9-12,135.55,7.6734,35.1059
2013-9-13,132.83,-2.0066,38.2563
2013-9-14,135.01,1.6412,34.2571
2013-9-15,129.4,-4.1552,32.3064
2013-9-16,130.86,1.1283,31.5838
2013-9-17,131.59,0.5578,40.7
2013-9-18,131.71,0.0912,38.6484
2013-9-19,131.37,-0.2581,40.7599
2013-9-20,129.7,-1.2712,37.0616
2013-9-21,126.95,-2.1203,35.3761
2013-9-22,127.87,0.7247,31.7777
2013-9-23,128.98,0.8681,33.7551
2013-9-24,126.05,-2.2717,28.8908
2013-9-25,127.38,1.0551,30.9052
2013-9-26,128.21,0.6516,33.2439
2013-9-27,128.94,0.5694,29.3641
2013-9-28,133.77,3.7459,30.179
2013-9-29,134.9,0.8447,24.6585
2013-9-30,137.15,1.6679,27.9383
2013-10-1,132.68,-3.2592,25.9502
2013-10-2,132.05,-0.4748,25.8187
2013-10-3,114.45,-13.3283,12.0598
2013-10-4,123.41,7.8287,19.7265
2013-10-5,128.63,4.2298,22.4342
2013-10-6,128.36,-0.2099,22.1962
2013-10-7,129.43,0.8336,23.0298
2013-10-8,126.74,-2.0783,24.3988
2013-10-9,125.85,-0.7022,23.9586
2013-10-10,130.67,3.83,27.594
2013-10-11,130.75,0.0612,25.7135
2013-10-12,130.9,0.1147,23.933
2013-10-13,135.19,3.2773,24.8082
2013-10-14,139.27,3.018,25.088
2013-10-15,140.77,1.077,28.4393
2013-10-16,145.65,3.4666,32.8241
2013-10-17,142.41,-2.2245,27.1497
2013-10-18,146.37,2.7807,29.3716
2013-10-19,155.91,6.5177,30.9325
2013-10-20,171.66,10.102,39.1774
2013-10-21,174.8,1.8292,39.2823
2013-10-22,182.65,4.4908,44.8274
2013-10-23,193.36,5.8637,53.5518
2013-10-24,214.3,10.8295,63.4615
2013-10-25,197.69,-7.7508,53.612
2013-10-26,187.45,-5.1798,50.1028
2013-10-27,176.6,-5.7882,38.976
2013-10-28,196.21,11.1042,53.1321
2013-10-29,198.55,1.1926,54.5449
2013-10-30,204.39,2.9413,48.7081
2013-10-31,199.83,-2.231,44.9368
2013-11-1,203.9,2.0367,44.391
2013-11-2,205.81,0.9367,47.5062
2013-11-3,205.99,0.0875,46.9153
2013-11-4,214.66,4.2089,58.2801
2013-11-5,229.21,6.7782,65.2713
2013-11-6,244.78,6.7929,78.0726
2013-11-7,261.68,6.9042,80.5694
2013-11-8,297.85,13.8222,96.2203
2013-11-9,338.58,13.6747,105.4555
2013-11-10,348.82,3.0244,109.5642
2013-11-11,325.41,-6.7112,95.1796
2013-11-12,343.06,5.4239,102.6101
2013-11-13,360.97,5.2207,106.1896
2013-11-14,406.41,12.5883,122.9331
2013-11-15,419.41,3.1987,125.0035
2013-11-16,417.28,-0.5079,123.9378
2013-11-17,440.96,5.6748,129.5214
2013-11-18,496.58,12.6134,142.3929
2013-11-19,712.76,43.5338,187.1979
2013-11-20,577.98,-18.9096,170.4086
2013-11-21,594.32,2.8271,172.511
2013-11-22,724.07,21.8317,193.4746
2013-11-23,771.7,6.5781,202.3244
2013-11-24,795.63,3.1009,204.3702
2013-11-25,773.02,-2.8418,200.8768
2013-11-26,805.73,4.2315,204.5389
2013-11-27,923.85,14.66,215.453
2013-11-28,1003.38,8.6085,223.2168
2013-11-29,1042.01,3.85,225.3989
2013-11-30,1129.37,8.3838,237.0419
2013-12-1,1128.92,-0.0398,237.4769
2013-12-2,951.42,-15.723,235.0822
2013-12-3,1046.4,9.983,237.2365
2013-12-4,1077.58,2.9797,235.9864
2013-12-5,1152.73,6.974,243.1703
2013-12-6,1042.38,-9.5729,232.7638
2013-12-7,835.32,-19.8642,214.9779
2013-12-8,697.31,-16.5218,199.1583
2013-12-9,793.8,13.8375,209.1658
2013-12-10,892.32,12.4112,221.5158
2013-12-11,989.07,10.8425,232.2436
2013-12-12,882.78,-10.7465,218.2198
2013-12-13,874.98,-0.8836,214.3182
2013-12-14,899.85,2.8424,216.0836
2013-12-15,875.29,-2.7293,209.8877
2013-12-16,880.33,0.5758,212.688
2013-12-17,706.37,-19.7608,190.1465
2013-12-18,678.2,-3.988,179.6408
2013-12-19,519.06,-23.4651,146.0737
2013-12-20,694.22,33.7456,177.9901
2013-12-21,619.9,-10.7055,162.7938
2013-12-22,601.78,-2.9231,154.007
2013-12-23,613.06,1.8744,145.0519
2013-12-24,672.36,9.6728,162.4755
2013-12-25,666.31,-0.8998,166.7555
2013-12-26,683.94,2.6459,175.1896
2013-12-27,763.28,11.6004,175.6858
2013-12-28,737.98,-3.3146,171.1786
2013-12-29,728.05,-1.3456,166.8917
2013-12-30,741.35,1.8268,170.9495
2013-12-31,760.32,2.5588,171.4716
2014-1-1,754.97,-0.7037,169.8312
2014-1-2,773.44,2.4465,172.1902
2014-1-3,802.85,3.8025,171.7838
2014-1-4,823.27,2.5434,167.549
2014-1-5,858.55,4.2853,165.0414
2014-1-6,936.05,9.0268,167.164
2014-1-7,946.49,1.1153,154.4571
2014-1-8,795.99,-15.9009,124.8815
2014-1-9,841.47,5.7136,127.5707
2014-1-10,846.69,0.6203,134.9022
2014-1-11,867.32,2.4365,131.9148
2014-1-12,919.6,6.0278,132.7219
2014-1-13,860.19,-6.4604,113.6732
2014-1-14,843.17,-1.9786,108.4959
2014-1-15,833.12,-1.1919,107.8119
2014-1-16,860.29,3.2612,105.3983
2014-1-17,834.49,-2.999,89.7859
2014-1-18,816.07,-2.2073,44.0448
2014-1-19,839.66,2.8907,65.8451
2014-1-20,871.39,3.7789,66.7969
2014-1-21,869.65,-0.1997,44.7655
2014-1-22,867.21,-0.2806,37.9068
2014-1-23,845.46,-2.508,32.2979
2014-1-24,822.43,-2.724,32.4157
2014-1-25,796.24,-3.1845,24.9997
2014-1-26,853.68,7.2139,17.5536
2014-1-27,884.6,3.622,12.5671
2014-1-28,774.02,-12.5006,-3.7835
2014-1-29,809.96,4.6433,-7.524
2014-1-30,826.02,1.9828,-5.5014
2014-1-31,818.43,-0.9189,9.3027
2014-2-1,828.61,1.2438,0.5635
2014-2-2,832.9,0.5177,-1.8985
2014-2-3,824.08,-1.059,-9.9315
2014-2-4,823.77,-0.0376,-0.3962
2014-2-5,829.96,0.7514,20.2194
2014-2-6,815.59,-1.7314,35.0098
2014-2-7,783.2,-3.9714,17.2009
2014-2-8,699.57,-10.678,-5.8883
2014-2-9,671.46,-4.0182,-20.749
2014-2-10,681.32,1.4684,-8.5341
2014-2-11,683.5,0.32,-7.3305
2014-2-12,672.38,-1.6269,-11.7998
2014-2-13,651.08,-3.1679,-12.2384
2014-2-14,601.17,-7.6657,-20.4799
2014-2-15,660.9,9.9356,9.2165
2014-2-16,651.3,-1.4526,11.7519
2014-2-17,614.23,-5.6917,29.5253
2014-2-18,627.16,2.1051,-2.1152
2014-2-19,625.97,-0.1897,8.4006
2014-2-20,623.09,-0.4601,10.8636
2014-2-21,556.88,-10.6261,-1.6369
2014-2-22,574.24,3.1174,-8.1923
2014-2-23,606.47,5.6126,-1.6799
2014-2-24,606.04,-0.0709,-4.3967
2014-2-25,540.24,-10.8574,-26.8545
2014-2-26,537.04,-0.5923,-24.1322
2014-2-27,581.65,8.3066,-14.48
2014-2-28,579.7,-0.3353,-16.6421
2014-3-1,549.92,-5.1371,-24.338
2014-3-2,567.23,3.1477,-20.4866
2014-3-3,562.56,-0.8233,-23.7564
2014-3-4,668.24,18.7856,-8.7733
2014-3-5,666.24,-0.2993,-11.616
2014-3-6,664.52,-0.2582,-16.1595
2014-3-7,664.31,-0.0316,-25.2179
2014-3-8,629.66,-5.2159,-31.5491
2014-3-9,616.31,-2.1202,-17.7684
2014-3-10,636.33,3.2484,-20.2336
2014-3-11,627.95,-1.3169,-22.1708
2014-3-12,631.91,0.6306,-23.9767
2014-3-13,633.62,0.2706,-29.7339
2014-3-14,638.14,0.7134,-22.5601
2014-3-15,629.37,-1.3743,-21.9558
2014-3-16,636.5,1.1329,-19.631
2014-3-17,630.92,-0.8767,-23.7689
2014-3-18,621.84,-1.4392,-22.2091
2014-3-19,613.9,-1.2769,-21.2787
2014-3-20,609.74,-0.6776,-24.847
2014-3-21,588.29,-3.5179,-32.1438
2014-3-22,571.18,-2.9084,-34.8525
2014-3-23,565.76,-0.9489,-35.5208
2014-3-24,562.51,-0.5744,-33.5872
2014-3-25,585.03,4.0035,-26.8597
2014-3-26,583.48,-0.2649,-23.9401
2014-3-27,580.26,-0.5519,-31.7059
2014-3-28,477.14,-17.7713,-53.0992
2014-3-29,501.71,5.1494,-35.4492
2014-3-30,492.37,-1.8616,-41.9541
2014-3-31,462.3,-6.1072,-50.0441
2014-4-1,457,-1.1464,-50.2716
2014-4-2,479.14,4.8446,-46.6708
2014-4-3,436.44,-8.9118,-56.1003
2014-4-4,445.66,2.1125,-52.9288
2014-4-5,446.67,0.2266,-52.6646
2014-4-6,463.4,3.7455,-49.6705
2014-4-7,461.47,-0.4165,-48.3556
2014-4-8,447.61,-3.0034,-47.3876
2014-4-9,453.18,1.2444,-35.4652
2014-4-10,442.26,-2.4096,-33.8566
2014-4-11,363.71,-17.761,-53.086
2014-4-12,420.89,15.7213,-37.6847
2014-4-13,421.46,0.1354,-35.9224
2014-4-14,414.83,-1.5731,-34.3276
2014-4-15,458.37,10.4959,-16.166
2014-4-16,522.18,13.9211,-12.1805
2014-4-17,529.07,1.3195,-9.4084
2014-4-18,495.8,-6.2884,-10.0051
2014-4-19,479.58,-3.2715,-15.3817
2014-4-20,501.75,4.6228,-10.5692
2014-4-21,497.74,-0.7992,-10.9083
2014-4-22,495.45,-0.4601,-0.7423
2014-4-23,488.36,-1.431,-5.2907
2014-4-24,490.83,0.5058,-10.3975
2014-4-25,500.09,1.8866,-8.44
2014-4-26,461.7,-7.6766,-5.2592
2014-4-27,457.24,-0.966,-5.6329
2014-4-28,430.72,-5.8,-19.7395
2014-4-29,439.98,2.1499,-17.2543
2014-4-30,446.89,1.5705,-10.5467
2014-5-1,447.63,0.1656,-13.5288
2014-5-2,457.36,2.1737,-10.5318
2014-5-3,449.4,-1.7404,-31.0578
2014-5-4,438.52,-2.421,-33.1795
2014-5-5,434.78,-0.8529,-33.7742
2014-5-6,433.36,-0.3266,-34.0692
2014-5-7,429.34,-0.9276,-29.7809
2014-5-8,438.68,2.1754,-25.4853
2014-5-9,440.18,0.3419,-28.3918
2014-5-10,450.46,2.3354,-24.7395
2014-5-11,453.92,0.7681,-24.602
2014-5-12,438.3,-3.4411,-28.3137
2014-5-13,441.53,0.7369,-28.2902
2014-5-14,440.59,-0.2129,-27.1288
2014-5-15,444.14,0.8057,-27.456
2014-5-16,447.39,0.7318,-25.8475
2014-5-17,448.12,0.1632,-24.2451
2014-5-18,448.7,0.1294,-22.8388
2014-5-19,446.08,-0.5839,-22.7451
2014-5-20,446.3,0.0493,-19.1779
2014-5-21,485.8,8.8505,-7.419
2014-5-22,492.05,1.2865,-5.1836
2014-5-23,525.72,6.8428,2.2336
2014-5-24,521.05,-0.8883,-2.6582
2014-5-25,525.23,0.8022,-1.5911
2014-5-26,571.39,8.7885,7.7493
2014-5-27,582.59,1.9601,27.4807
2014-5-28,571.91,-1.8332,20.4981
2014-5-29,576.33,0.7728,23.1325
2014-5-30,568.18,-1.4141,27.8256
2014-5-31,615.69,8.3618,37.3338
2014-6-1,623.69,1.2994,33.7886
2014-6-2,629.65,0.9556,43.656
2014-6-3,660.55,4.9075,46.451
2014-6-4,666.77,0.9416,47.166
2014-6-5,641.07,-3.8544,39.5661
2014-6-6,659.28,2.8406,42.8232
2014-6-7,653.52,-0.8737,44.9529
2014-6-8,654.99,0.2249,43.9334
2014-6-9,655.64,0.0992,46.4422
2014-6-10,650.04,-0.8541,63.3491
2014-6-11,653.19,0.4846,48.1124
2014-6-12,633.43,-3.0252,44.9518
